iter  AnomalyNodeRemoved  LL
0 NA -607505.628119
1 431079 -594657.381673
2 230433 -593906.920890
3 529537 -582721.859596
4 366625 -593467.763667
5 460068 -585136.008758
6 137640 -584749.314770
7 161911 -585175.519438
8 455223 -596303.088974
9 337900 -586030.969269
10 368134 -592657.265466
11 439633 -581941.152986
12 473191 -582563.579869
13 420311 -583024.331509
14 532169 -583776.097027
15 492072 -592703.987971
16 529423 -592675.233336
17 474391 -585439.300541
18 478556 -582601.148574
19 408757 -595465.537634
20 480318 -593026.923473
21 325549 -593132.705631
22 329166 -581629.500006
23 392403 -582614.146306
24 124256 -584288.458933
25 37188 -593128.050445
26 396958 -582194.699433
27 180788 -583089.946549
28 490720 -582428.120365
29 254067 -591879.556689
30 373840 -582649.719864
31 251575 -583013.083927
32 501625 -582165.615110
33 502307 -593002.662416
34 91061 -584772.502106
35 424434 -591026.204274
36 375541 -581450.539928
37 278970 -583627.395506
38 297968 -581628.400079
39 114607 -581209.882182
40 547105 -583074.604165
41 145906 -585067.369057
42 243468 -583584.883942
43 165246 -583737.327075
44 100557 -591950.647108
45 139233 -585632.162055
46 76083 -590750.018009
47 421004 -592092.298876
48 328189 -583923.327078
49 73461 -591709.551342
50 7104 -581689.517733
51 521497 -590528.982747
52 251947 -580278.650633
53 542648 -590298.185202
54 541622 -585301.410350
55 437777 -581158.322786
56 315555 -590806.514150
57 201988 -582033.583014
58 149964 -581453.482398
59 37478 -593631.333373
60 317063 -581760.402338
61 459292 -582481.804128
62 456039 -581459.574515
63 61829 -580593.309008
64 400688 -583242.324111
65 236020 -591131.514574
66 453455 -582009.931410
67 79673 -582301.381559
68 384782 -590089.930867
69 277174 -582924.632556
70 201822 -583740.630832
71 211044 -581998.408211
72 232263 -589684.547664
73 7182 -593098.351502
74 371336 -591440.221713
75 179746 -590908.892508
76 423818 -589994.290838
77 491179 -580732.688423
78 469653 -590137.281887
79 365087 -580719.833600
80 78589 -592785.285858
81 82810 -580429.942408
82 347583 -581058.965322
83 29655 -589891.076400
84 147315 -590889.441763
85 283501 -585235.916252
86 394765 -591641.576510
87 105623 -591706.541857
88 76252 -579085.234590
89 94796 -582404.679120
90 359406 -579597.311778
91 431209 -581032.683046
92 323195 -581082.013014
93 138683 -589745.668651
94 214341 -580903.256613
95 104701 -592634.371061
96 62016 -582614.704689
97 413344 -588924.472075
98 289518 -588833.050895
99 243161 -590976.066579
100 25343 -578717.886535
