iter  AnomalyNodeRemoved  LL
0 NA -830733.939064
1 401537 -830627.570284
2 28994 -830548.294820
3 98470 -830440.986623
4 507406 -830405.519441
5 515284 -830341.526061
6 36635 -830261.599763
7 517691 -830224.647693
8 401397 -830125.332954
9 39501 -829818.495907
10 55299 -829726.328299
11 495314 -829630.192998
12 227952 -829567.667546
13 273732 -829387.462334
14 36257 -829347.559807
15 261927 -829307.677472
16 384990 -829088.345264
17 524495 -829068.406156
18 354279 -829028.528089
19 170305 -828988.650037
20 323272 -828928.832975
21 385644 -828908.893952
22 311585 -828869.015912
23 535003 -828829.137870
24 260296 -828789.259828
25 187715 -828510.113562
26 447215 -827971.760051
27 456791 -827892.003964
28 456926 -827852.125911
29 100795 -827812.247848
30 98734 -827792.308779
31 309136 -827772.369646
32 422761 -827692.613220
33 229707 -827592.916791
34 339596 -827473.282667
35 401272 -827373.587571
36 213072 -827333.709533
37 62193 -827293.831496
38 539471 -827273.892477
39 175147 -827134.319346
40 256901 -827074.502290
41 96253 -827034.624253
42 7479 -827014.685234
43 299986 -826994.746215
44 160470 -826914.990141
45 383005 -826875.112103
46 346779 -826815.295047
47 471108 -826795.356028
48 499262 -826735.538972
49 287717 -826715.599954
50 36286 -826675.721916
51 128128 -826595.965841
52 137289 -826476.331729
53 385307 -826396.575654
54 174159 -826257.002524
55 405989 -826237.063505
56 329684 -826197.185468
57 458850 -826017.734299
58 142310 -825918.039206
59 190337 -825718.649019
60 527136 -825539.197851
61 434725 -824821.393177
62 509360 -824761.576121
63 489399 -824701.759065
64 341392 -823964.015374
65 119092 -823924.137336
66 237249 -823864.320280
67 310096 -823824.442243
68 178061 -823066.759532
69 297126 -822169.503691
70 387584 -822089.747616
71 212245 -821790.662336
72 184803 -821471.638037
73 222181 -821352.003924
74 193534 -821132.674719
75 85941 -821112.735700
76 172940 -820953.223550
77 49330 -820933.284532
78 177681 -820913.345513
79 242068 -820893.406494
80 439133 -820793.711401
81 413495 -820773.772382
82 463382 -820753.833363
83 280526 -820733.894345
84 543477 -820713.955326
85 390233 -820674.077289
86 78667 -820554.443177
87 36724 -820474.687102
88 145825 -820434.809064
89 9481 -820394.931027
90 225214 -820374.992008
91 485546 -820295.235933
92 44421 -820275.296915
93 29765 -820235.418877
94 412275 -820215.479859
95 92751 -820095.845747
96 542266 -820075.906728
97 489479 -820055.967709
98 242419 -819936.333597
99 189047 -819876.516541
100 22105 -819717.004391
101 273630 -819597.370279
102 315737 -819457.797148
103 219757 -819437.858130
104 264947 -819397.980092
105 221400 -819378.041073
106 226872 -819338.163036
107 144350 -819218.528924
108 115939 -819198.589905
109 375034 -819138.772849
110 415749 -819098.894812
111 280811 -819078.955793
112 456157 -818999.199718
113 138814 -818899.504625
114 445223 -818759.931494
115 153649 -818700.114438
116 317550 -818620.358363
117 405821 -818600.419344
118 388671 -818520.663270
119 326926 -818460.846213
120 123773 -818401.029157
121 208689 -818301.334064
122 508012 -818221.577989
123 373876 -817822.797615
124 178424 -817643.346447
125 160687 -817563.590372
126 137654 -817543.651353
127 488830 -817483.834297
128 193213 -817463.895279
129 487637 -817443.956260
130 288680 -817424.017241
131 224446 -817324.322148
132 88707 -817284.444110
133 8480 -817184.749017
134 516400 -817164.809998
135 244810 -817104.992942
136 538738 -817065.114905
137 21948 -817045.175886
138 368715 -817025.236867
139 299104 -816945.480793
140 514472 -816845.785699
141 419602 -816746.090606
142 235456 -816706.212568
143 40435 -816686.273549
