iter  precision  recall
1  0.025070  0.009212
2  0.027778  0.010235
3  0.027701  0.010235
4  0.027624  0.010235
5  0.027548  0.010235
6  0.027473  0.010235
7  0.027397  0.010235
8  0.027322  0.010235
9  0.027248  0.010235
10  0.027174  0.010235
11  0.027100  0.010235
12  0.027027  0.010235
13  0.026954  0.010235
14  0.026882  0.010235
15  0.026810  0.010235
16  0.026738  0.010235
17  0.026667  0.010235
18  0.026596  0.010235
19  0.026525  0.010235
20  0.026455  0.010235
21  0.026385  0.010235
22  0.026316  0.010235
23  0.026247  0.010235
24  0.026178  0.010235
25  0.026110  0.010235
26  0.026042  0.010235
27  0.025974  0.010235
28  0.025907  0.010235
29  0.025840  0.010235
30  0.025773  0.010235
31  0.025707  0.010235
32  0.025641  0.010235
33  0.025575  0.010235
34  0.025510  0.010235
35  0.025445  0.010235
36  0.025381  0.010235
37  0.025316  0.010235
38  0.025253  0.010235
39  0.025189  0.010235
40  0.025126  0.010235
41  0.025063  0.010235
42  0.025000  0.010235
43  0.024938  0.010235
44  0.024876  0.010235
45  0.024814  0.010235
46  0.024752  0.010235
47  0.024691  0.010235
48  0.024631  0.010235
49  0.024570  0.010235
50  0.024510  0.010235
51  0.024450  0.010235
52  0.024390  0.010235
53  0.024331  0.010235
54  0.024272  0.010235
55  0.024213  0.010235
56  0.024155  0.010235
57  0.024096  0.010235
58  0.024038  0.010235
59  0.023981  0.010235
60  0.023923  0.010235
61  0.023866  0.010235
62  0.023810  0.010235
63  0.023753  0.010235
64  0.023697  0.010235
65  0.023641  0.010235
66  0.023585  0.010235
67  0.023529  0.010235
68  0.023474  0.010235
69  0.023419  0.010235
70  0.023364  0.010235
71  0.023310  0.010235
72  0.023256  0.010235
73  0.023202  0.010235
74  0.023148  0.010235
75  0.023095  0.010235
76  0.023041  0.010235
77  0.022989  0.010235
78  0.022936  0.010235
79  0.022883  0.010235
80  0.022831  0.010235
81  0.022779  0.010235
82  0.022727  0.010235
83  0.022676  0.010235
84  0.022624  0.010235
85  0.022573  0.010235
86  0.022523  0.010235
87  0.022472  0.010235
88  0.022422  0.010235
89  0.022371  0.010235
90  0.022321  0.010235
91  0.022272  0.010235
92  0.022222  0.010235
93  0.022173  0.010235
94  0.022124  0.010235
95  0.024283  0.011259
96  0.024229  0.011259
97  0.024176  0.011259
98  0.024123  0.011259
99  0.024070  0.011259
100  0.024017  0.011259
