0(228055): 
1(521702): 6(0.152719), 
2(287145): 2(0.014119), 
3(450856): 2(0.042427), 
4(102144): 2(0.087235), 
5(287141): 
6(448374): 
7(89373): 7(0.027838), 
8(81335): 7(0.062616), 
9(119620): 7(0.076574), 
10(200169): 7(0.068892), 
11(40222): 7(0.098024), 
12(460062): 
13(318503): 6(0.024901), 
14(67803): 6(0.019699), 
15(286891): 0(0.020120), 
16(239327): 0(0.778721), 
17(498364): 0(0.073614), 
18(16395): 0(0.072699), 
19(232179): 0(0.039873), 
20(164122): 0(0.046475), 
21(105015): 0(0.087551), 
22(296014): 0(0.026592), 
23(289427): 
24(32241): 0(0.094016), 
25(487014): 0(0.100512), 
26(286893): 7(0.034744), 
27(94931): 7(0.112630), 
28(32451): 7(0.041872), 
29(239461): 7(0.056036), 
30(509145): 7(0.034743), 
31(46703): 7(0.077258), 
32(256907): 
33(36567): 1(0.039545), 
34(5983): 1(0.023673), 
35(118167): 1(0.041784), 
36(146669): 1(0.029906), 
37(121437): 1(0.035574), 
38(57047): 1(0.060118), 
39(5980): 6(0.034650), 
40(197166): 6(0.041801), 
41(223321): 6(0.069740), 
42(186036): 6(0.154175), 
43(319577): 6(0.048793), 
44(250217): 6(0.118985), 
45(439015): 2(0.028705), 
46(64939): 2(0.080176), 
47(463306): 2(0.028537), 
48(316554): 2(0.065266), 
49(88461): 2(0.043191), 
50(155639): 2(0.072049), 
51(301321): 2(0.028833), 
52(513524): 2(0.042598), 
53(307705): 2(0.036028), 
54(223718): 2(0.028604), 
55(74245): 2(0.058009), 
56(295311): 6(0.020508), 
57(172028): 2(0.220083), 
58(510322): 2(0.043419), 
59(17292): 2(0.027588), 
60(42224): 6(0.013460), 
61(214078): 
62(97572): 0(0.046248), 
63(159578): 0(0.039549), 
64(127470): 
65(228133): 7(0.018166), 
66(103546): 2(0.034136), 
67(110207): 3(0.013538), 
68(136349): 2(0.035615), 
69(39095): 1(0.016760), 
70(165611): 2(0.028629), 
71(27090): 2(0.035860), 
72(120128): 
73(147261): 1(0.035139), 
74(215308): 2(0.036380), 
75(389772): 2(0.043853), 
76(431591): 2(0.036545), 
77(64916): 2(0.371245), 
78(45473): 2(0.051142), 
79(356511): 2(0.340642), 
80(260529): 4(0.042331), 
81(528223): 4(0.049522), 
82(108060): 4(0.028021), 
83(212554): 4(0.035207), 
84(186983): 4(0.027944), 
85(533674): 4(0.034444), 
86(117381): 4(0.021022), 
87(215307): 7(0.033907), 
88(23604): 7(0.020794), 
89(29084): 7(0.084458), 
90(18082): 
91(253312): 7(0.290886), 
92(11004): 7(0.140919), 
93(498600): 4(0.035910), 
94(311508): 4(0.050174), 
95(38731): 4(0.071782), 
96(35115): 4(0.137492), 
97(229019): 4(0.188511), 
98(332908): 4(0.217790), 
99(215302): 
100(166142): 0(0.032814), 
101(389227): 0(0.120854), 
102(53903): 2(0.014356), 
103(95028): 2(0.102082), 
104(261461): 2(0.087272), 
105(300259): 7(0.027303), 
106(531331): 4(0.195724), 
107(394210): 7(0.027299), 
108(278785): 7(0.027300), 
109(50319): 7(0.048084), 
110(378270): 7(0.048087), 
111(173151): 1(0.023815), 
112(396318): 1(0.029328), 
113(330440): 1(0.078167), 
114(150796): 1(0.066422), 
115(508877): 1(0.041710), 
116(311175): 4(0.028673), 
117(270069): 4(0.231727), 
118(502640): 2(0.014631), 4(0.044071), 
119(371903): 4(0.216754), 
120(249132): 4(0.142503), 
121(534091): 0(0.019420), 
122(164420): 0(0.032783), 
