0.009582
0.009582
0(378467)::	9:0.018546	7:0.009790	
1(535876)::	9:0.028163	
2(267683)::	9:0.018413	
3(224311)::	9:0.023303	
4(166646)::	7:0.024802	
5(162413)::	9:0.018546	
6(384948)::	7:0.029981	
7(378465)::	7:0.013927	
8(64618)::	8:0.011656	6:0.003746	7:0.004464	
9(539999)::	7:0.020191	
10(109809)::	7:0.025286	
11(378463)::	3:0.053060	
12(47657)::	3:0.047757	
13(347815)::	3:0.063793	
14(347814)::	3:0.047741	
15(242719)::	3:0.026417	
16(156060)::	3:0.015744	
17(397643)::	3:0.031756	
18(379535)::	3:0.085195	
19(277604)::	3:0.047559	
20(539213)::	3:0.047758	
21(337936)::	3:0.026396	
22(145658)::	9:0.047069	
23(395251)::	9:0.008304	4:0.053995	
24(527048)::	8:0.004381	9:0.004460	
25(438195)::	9:0.047684	
26(193843)::	9:0.086702	
27(21081)::	6:0.004004	9:0.021760	
28(193838)::	9:0.062378	
29(177229)::	9:0.014273	
30(80720)::	9:0.004460	
31(280713)::	9:0.062344	
32(389206)::	9:0.013465	
33(378468)::	3:0.015487	
34(512721)::	3:0.047250	
35(4226)::	3:0.020682	
36(388706)::	3:0.041889	
37(370254)::	9:0.023763	
38(505363)::	9:0.023632	
39(505367)::	9:0.028402	
40(505376)::	9:0.037923	
41(505370)::	9:0.033258	
42(505380)::	9:0.081496	
43(89372)::	3:0.015627	4:0.004539	
44(307928)::	3:0.057804	
45(275609)::	3:0.031171	
46(355259)::	3:0.047097	
47(140906)::	4:0.020494	
48(11541)::	7:0.003881	
49(184417)::	7:0.013586	
50(89376)::	8:0.030748	
51(245760)::	8:0.030691	
52(13631)::	8:0.026274	
53(180185)::	8:0.026204	
54(123221)::	8:0.035183	
55(422287)::	8:0.021816	
56(124115)::	8:0.035182	
57(51523)::	8:0.021828	
58(11545)::	7:0.014619	
59(317216)::	7:0.198555	
60(33899)::	7:0.014200	
61(416476)::	7:0.009191	
62(89378)::	9:0.018302	
63(430109)::	9:0.013541	
64(413283)::	9:0.017992	8:0.004719	
65(191692)::	9:0.018302	
66(320564)::	9:0.018033	8:0.004979	
67(11548)::	7:0.020145	
68(30672)::	7:0.030455	
69(97640)::	7:0.025315	
70(41954)::	7:0.020145	
71(502664)::	7:0.020145	
72(425875)::	6:0.008529	
73(425873)::	6:0.030405	
74(376985)::	6:0.074440	
75(366835)::	6:0.021870	
76(479743)::	6:0.013013	
77(164337)::	6:0.013086	
78(73739)::	6:0.066468	
79(536245)::	6:0.057237	
80(256902)::	4:0.015910	
81(348731)::	4:0.080680	
82(201661)::	4:0.025396	
83(56319)::	4:0.080986	
84(19399)::	7:0.013999	
85(344940)::	7:0.025107	
86(195035)::	7:0.051641	
87(381762)::	7:0.003921	
88(243523)::	4:0.000113	7:0.014891	
89(275184)::	8:0.008444	7:0.025487	
90(45288)::	4:0.055140	7:0.017615	
91(534441)::	7:0.030599	
92(439012)::	3:0.042147	
93(188393)::	3:0.021024	
94(508153)::	3:0.068850	
95(107493)::	3:0.052932	
96(124889)::	3:0.010354	
97(290019)::	3:0.031426	
98(480376)::	3:0.068617	
99(488554)::	3:0.021083	
100(408304)::	3:0.026307	
101(199399)::	4:0.005086	6:0.004343	
102(274763)::	4:0.053193	
103(365664)::	6:0.137542	
104(155632)::	3:0.020901	
105(257595)::	3:0.037129	
106(449213)::	3:0.068822	
107(238672)::	3:0.031494	
108(208384)::	3:0.026329	
109(127476)::	6:0.003997	
110(448348)::	6:0.038438	9:0.004458	
111(415032)::	
112(260521)::	6:0.012550	
113(8187)::	6:0.016708	
114(111189)::	6:0.017015	
115(291531)::	6:0.039285	
116(244769)::	8:0.008253	
117(384460)::	8:0.025477	
118(423375)::	8:0.025303	
119(420944)::	6:0.021613	
120(349056)::	6:0.030721	
121(405855)::	6:0.012784	
122(153463)::	6:0.030693	
123(475792)::	6:0.026197	
124(5329)::	6:0.035241	
125(493652)::	9:0.019139	
126(168999)::	9:0.077153	
127(212327)::	9:0.047570	
128(432077)::	9:0.125618	
129(37350)::	9:0.057424	
