iter  precision  recall
1  0.000000  0.000000
2  0.000000  0.000000
3  0.000000  0.000000
4  0.000000  0.000000
5  0.000000  0.000000
6  0.000000  0.000000
7  0.000000  0.000000
8  0.000000  0.000000
9  0.000000  0.000000
10  0.000000  0.000000
11  0.000000  0.000000
12  0.000000  0.000000
13  0.000000  0.000000
14  0.000000  0.000000
15  0.000000  0.000000
16  0.000000  0.000000
17  0.000000  0.000000
18  0.000000  0.000000
19  0.000000  0.000000
20  0.000000  0.000000
21  0.000000  0.000000
22  0.000000  0.000000
23  0.000000  0.000000
24  0.000000  0.000000
25  0.000000  0.000000
26  0.000000  0.000000
27  0.000000  0.000000
28  0.000000  0.000000
29  0.000000  0.000000
30  0.000000  0.000000
31  0.000000  0.000000
32  0.000000  0.000000
33  0.000000  0.000000
34  0.000000  0.000000
35  0.000000  0.000000
36  0.000000  0.000000
37  0.000000  0.000000
38  0.000000  0.000000
39  0.000000  0.000000
40  0.000000  0.000000
41  0.000000  0.000000
42  0.000000  0.000000
43  0.000000  0.000000
44  0.000000  0.000000
45  0.000000  0.000000
46  0.000000  0.000000
47  0.000000  0.000000
48  0.000000  0.000000
49  0.000000  0.000000
50  0.000000  0.000000
51  0.000000  0.000000
52  0.000000  0.000000
53  0.000000  0.000000
54  0.000000  0.000000
55  0.000000  0.000000
56  0.000000  0.000000
57  0.000000  0.000000
58  0.000000  0.000000
59  0.000000  0.000000
60  0.000000  0.000000
61  0.000000  0.000000
62  0.000000  0.000000
63  0.000000  0.000000
64  0.000000  0.000000
65  0.000000  0.000000
66  0.000000  0.000000
67  0.000000  0.000000
68  0.000000  0.000000
69  0.000000  0.000000
70  0.000000  0.000000
71  0.000000  0.000000
72  0.000000  0.000000
73  0.000000  0.000000
74  0.000000  0.000000
75  0.000000  0.000000
76  0.000000  0.000000
77  0.000000  0.000000
78  0.000000  0.000000
79  0.000000  0.000000
80  0.000000  0.000000
81  0.000000  0.000000
82  0.000000  0.000000
83  0.000000  0.000000
84  0.000000  0.000000
85  0.000000  0.000000
86  0.000000  0.000000
87  0.000000  0.000000
88  0.000000  0.000000
89  0.000000  0.000000
90  0.000000  0.000000
91  0.000000  0.000000
92  0.000000  0.000000
93  0.000000  0.000000
94  0.000000  0.000000
95  0.000000  0.000000
96  0.000000  0.000000
97  0.000000  0.000000
98  0.000000  0.000000
99  0.000000  0.000000
100  0.000000  0.000000
101  0.000000  0.000000
102  0.000000  0.000000
103  0.000000  0.000000
104  0.000000  0.000000
105  0.000000  0.000000
106  0.000000  0.000000
107  0.000000  0.000000
108  0.000000  0.000000
109  0.000000  0.000000
110  0.000000  0.000000
111  0.009009  0.001024
112  0.008929  0.001024
113  0.008850  0.001024
114  0.008772  0.001024
115  0.008696  0.001024
116  0.008621  0.001024
117  0.008547  0.001024
118  0.008475  0.001024
119  0.008403  0.001024
120  0.008333  0.001024
121  0.008264  0.001024
122  0.008197  0.001024
123  0.008130  0.001024
124  0.008065  0.001024
125  0.008000  0.001024
126  0.007937  0.001024
127  0.007874  0.001024
128  0.007812  0.001024
129  0.007752  0.001024
130  0.007692  0.001024
131  0.007634  0.001024
132  0.007576  0.001024
133  0.007519  0.001024
134  0.007463  0.001024
135  0.007407  0.001024
136  0.007353  0.001024
137  0.007299  0.001024
138  0.007246  0.001024
139  0.007194  0.001024
140  0.007143  0.001024
141  0.007092  0.001024
142  0.007042  0.001024
143  0.006993  0.001024
144  0.006944  0.001024
145  0.006897  0.001024
146  0.006849  0.001024
147  0.006803  0.001024
148  0.006757  0.001024
149  0.006711  0.001024
150  0.006667  0.001024
151  0.006623  0.001024
152  0.006579  0.001024
153  0.006536  0.001024
154  0.006494  0.001024
155  0.006452  0.001024
156  0.006410  0.001024
157  0.006369  0.001024
158  0.006329  0.001024
159  0.006289  0.001024
160  0.006250  0.001024
161  0.006211  0.001024
162  0.006173  0.001024
163  0.006135  0.001024
164  0.006098  0.001024
165  0.006061  0.001024
166  0.006024  0.001024
167  0.005988  0.001024
168  0.005952  0.001024
169  0.005917  0.001024
170  0.005882  0.001024
171  0.005848  0.001024
172  0.005814  0.001024
173  0.005780  0.001024
174  0.005747  0.001024
175  0.005714  0.001024
176  0.005682  0.001024
177  0.005650  0.001024
178  0.005618  0.001024
179  0.005587  0.001024
180  0.005556  0.001024
181  0.005525  0.001024
182  0.005495  0.001024
183  0.005464  0.001024
184  0.005435  0.001024
185  0.005405  0.001024
186  0.005376  0.001024
187  0.005348  0.001024
188  0.005319  0.001024
189  0.005291  0.001024
190  0.005263  0.001024
191  0.005236  0.001024
192  0.005208  0.001024
193  0.005181  0.001024
194  0.005155  0.001024
195  0.005128  0.001024
196  0.005102  0.001024
197  0.005076  0.001024
198  0.005051  0.001024
199  0.005025  0.001024
200  0.005000  0.001024
201  0.004975  0.001024
202  0.004950  0.001024
203  0.004926  0.001024
204  0.004902  0.001024
205  0.004878  0.001024
206  0.004854  0.001024
207  0.004831  0.001024
208  0.004808  0.001024
209  0.004785  0.001024
210  0.004762  0.001024
211  0.004739  0.001024
212  0.004717  0.001024
213  0.004695  0.001024
214  0.004673  0.001024
215  0.004651  0.001024
216  0.004630  0.001024
217  0.004608  0.001024
218  0.004587  0.001024
219  0.004566  0.001024
220  0.004545  0.001024
221  0.004525  0.001024
222  0.004505  0.001024
223  0.004484  0.001024
224  0.004464  0.001024
225  0.004444  0.001024
226  0.004425  0.001024
227  0.004405  0.001024
228  0.004386  0.001024
229  0.004367  0.001024
230  0.004348  0.001024
231  0.004329  0.001024
232  0.004310  0.001024
233  0.004292  0.001024
234  0.004274  0.001024
235  0.004255  0.001024
236  0.004237  0.001024
237  0.004219  0.001024
238  0.004202  0.001024
239  0.004184  0.001024
240  0.004167  0.001024
241  0.004149  0.001024
242  0.004132  0.001024
243  0.004115  0.001024
244  0.004098  0.001024
245  0.004082  0.001024
246  0.004065  0.001024
247  0.004049  0.001024
248  0.004032  0.001024
249  0.004016  0.001024
250  0.004000  0.001024
