iter  AnomalyNodeRemoved  LL
0 NA -2307852.394318
1 370254 -2278049.468698
2 527454 -2249488.041031
3 456607 -2299020.465619
4 470925 -2273824.740258
5 31531 -2299514.008241
6 274356 -2281823.950317
7 81995 -2279696.237443
8 378469 -2315340.303221
9 545965 -2290268.768017
10 274565 -2307785.918898
11 421445 -2263138.331544
12 186513 -2265800.791493
13 420101 -2283993.689032
14 260988 -2292626.207251
15 510587 -2260466.895751
16 389693 -2257242.124444
17 41546 -2233905.740477
18 208994 -2263799.596031
19 413927 -2226140.571078
20 64297 -2250343.338792
21 450869 -2263795.061697
22 9254 -2281601.814284
23 544170 -2267736.420126
24 84392 -2316744.022956
25 548405 -2288510.853180
26 49756 -2269594.179328
27 368016 -2299609.641577
28 5988 -2292467.766710
29 133278 -2277437.178507
30 339464 -2257185.094561
31 352852 -2294375.751075
32 212906 -2295475.656668
33 361738 -2237747.014256
34 308550 -2289126.662511
35 450423 -2261213.349591
36 18916 -2284694.809935
37 176067 -2289781.517746
38 163289 -2267498.834120
39 504607 -2248563.758300
40 20733 -2234415.184624
41 218446 -2244716.787707
42 142341 -2305871.957633
43 306859 -2263025.090009
44 168158 -2281029.766845
45 1178 -2248336.615489
46 431298 -2285558.798720
47 508517 -2272708.987609
48 113365 -2280992.810072
49 402284 -2292634.023793
50 157250 -2259937.707522
51 2757 -2286249.532528
52 247465 -2263448.844044
53 290019 -2287613.038050
54 185801 -2283235.871187
55 354517 -2286685.525955
56 188580 -2286936.544099
57 176073 -2262904.060729
58 503450 -2265279.389030
59 491110 -2273152.510769
60 480376 -2255782.293556
61 37790 -2273665.300875
62 136850 -2296886.795249
63 160598 -2289739.495020
64 259242 -2267069.156521
65 52460 -2273524.287037
66 110049 -2281344.798924
67 38560 -2288196.205767
68 408638 -2281163.930581
69 82994 -2257320.967332
70 491096 -2301831.069765
71 176070 -2246450.848159
72 82753 -2290211.127344
73 169883 -2252844.668148
74 87813 -2316482.226322
75 505357 -2248382.981044
76 203820 -2272657.187488
77 520911 -2237394.391184
78 108235 -2293276.773132
79 522134 -2267860.038268
80 329562 -2279525.299804
81 378683 -2258693.218445
82 422511 -2273912.545678
83 460001 -2265091.355176
84 264139 -2278666.877769
85 1179 -2258410.444163
86 117950 -2295712.545841
87 60902 -2249870.419280
88 388157 -2274602.680387
89 386217 -2235100.549389
90 122783 -2253947.044676
91 483609 -2279214.487102
92 308902 -2252677.719848
93 457072 -2265486.708584
94 132666 -2305077.494467
95 367150 -2278938.227917
96 507067 -2268070.570759
97 37800 -2236959.271225
98 291369 -2285293.070745
99 349099 -2272820.005863
100 433882 -2263186.034580
