iter  precision  recall
1  0.043685  0.043872
2  0.043664  0.043872
3  0.043643  0.043872
4  0.043623  0.043872
5  0.043602  0.043872
6  0.043581  0.043872
7  0.043561  0.043872
8  0.043540  0.043872
9  0.043519  0.043872
10  0.043499  0.043872
11  0.043478  0.043872
12  0.043458  0.043872
13  0.043437  0.043872
14  0.043417  0.043872
15  0.043396  0.043872
16  0.043376  0.043872
17  0.043355  0.043872
18  0.043335  0.043872
19  0.043315  0.043872
20  0.043294  0.043872
21  0.043274  0.043872
22  0.043253  0.043872
23  0.043233  0.043872
24  0.043213  0.043872
25  0.043192  0.043872
26  0.043172  0.043872
27  0.043152  0.043872
28  0.043132  0.043872
29  0.043112  0.043872
30  0.043091  0.043872
31  0.043071  0.043872
32  0.043051  0.043872
33  0.043031  0.043872
34  0.043011  0.043872
35  0.042991  0.043872
36  0.042971  0.043872
37  0.042951  0.043872
38  0.042930  0.043872
39  0.042910  0.043872
40  0.042890  0.043872
41  0.042870  0.043872
42  0.042850  0.043872
43  0.042831  0.043872
44  0.042811  0.043872
45  0.042791  0.043872
46  0.042771  0.043872
47  0.042751  0.043872
48  0.042731  0.043872
49  0.042711  0.043872
50  0.042691  0.043872
51  0.042672  0.043872
52  0.042652  0.043872
53  0.042632  0.043872
54  0.042612  0.043872
55  0.042593  0.043872
56  0.042573  0.043872
57  0.042553  0.043872
58  0.042534  0.043872
59  0.042514  0.043872
60  0.042494  0.043872
61  0.042475  0.043872
62  0.042455  0.043872
63  0.042435  0.043872
64  0.042416  0.043872
65  0.042396  0.043872
66  0.042377  0.043872
67  0.042357  0.043872
68  0.042338  0.043872
69  0.042318  0.043872
70  0.042299  0.043872
71  0.042279  0.043872
72  0.042260  0.043872
73  0.042241  0.043872
74  0.042221  0.043872
75  0.042202  0.043872
76  0.042182  0.043872
77  0.042163  0.043872
78  0.042144  0.043872
79  0.042125  0.043872
80  0.042105  0.043872
81  0.042086  0.043872
82  0.042067  0.043872
83  0.042048  0.043872
84  0.042028  0.043872
85  0.042009  0.043872
86  0.041990  0.043872
87  0.041971  0.043872
88  0.041952  0.043872
89  0.041933  0.043872
90  0.041913  0.043872
91  0.041894  0.043872
92  0.041875  0.043872
93  0.041856  0.043872
94  0.042292  0.044349
95  0.042273  0.044349
96  0.042254  0.044349
97  0.042234  0.044349
98  0.042215  0.044349
99  0.042196  0.044349
100  0.042177  0.044349
