0.561084
0.561084
0(191076)::	
1(294285)::	
2(231860)::	0:0.241859	1:0.241859	2:0.241859	3:0.241859	4:0.241859	5:0.241859	6:0.241859	7:0.241859	8:0.241859	9:0.241859	10:0.241859	
3(231865)::	10:0.196182	9:0.196182	8:0.196182	7:0.196182	6:0.196182	5:0.196182	4:0.196182	3:0.196182	2:0.196182	1:0.196182	0:0.196182	
4(231862)::	0:2.253276	1:2.253276	2:2.253276	3:2.253276	4:2.253276	5:2.253276	6:2.253276	7:2.253276	8:2.253276	9:2.253276	10:2.253276	
5(368721)::	10:0.120719	9:0.120719	8:0.120719	7:0.120719	6:0.120719	5:0.120719	4:0.120719	3:0.120719	2:0.120719	1:0.120719	0:0.120719	
6(199179)::	10:0.655986	9:0.655986	8:0.655986	7:0.655986	6:0.655986	5:0.655986	4:0.655986	3:0.655986	2:0.655986	1:0.655986	0:0.655986	
7(256663)::	10:0.179106	9:0.179106	8:0.179106	7:0.179106	6:0.179106	5:0.179106	4:0.179106	3:0.179106	2:0.179106	1:0.179106	0:0.179106	
8(398297)::	0:0.170793	1:0.170793	2:0.170793	3:0.170793	4:0.170793	5:0.170793	6:0.170793	7:0.170793	8:0.170793	9:0.170793	10:0.170793	
9(347684)::	10:0.553745	9:0.553745	8:0.553745	7:0.553745	6:0.553745	5:0.553745	4:0.553745	3:0.553745	2:0.553745	1:0.553745	0:0.553745	
10(153688)::	10:0.061137	9:0.061137	8:0.061137	7:0.061137	6:0.061137	5:0.061137	4:0.061137	3:0.061137	2:0.061137	1:0.061137	0:0.061137	
11(238339)::	10:0.079446	9:0.079446	8:0.079446	7:0.079446	6:0.079446	5:0.079446	4:0.079446	3:0.079446	2:0.079446	1:0.079446	0:0.079446	
12(405970)::	0:0.079432	1:0.079432	2:0.079432	3:0.079432	4:0.079432	5:0.079432	6:0.079432	7:0.079432	8:0.079432	9:0.079432	10:0.079432	
13(189151)::	10:0.090289	9:0.090289	8:0.090289	7:0.090289	6:0.090289	5:0.090289	4:0.090289	3:0.090289	2:0.090289	1:0.090289	0:0.090289	
14(260324)::	10:0.174684	9:0.174684	8:0.174684	7:0.174684	6:0.174684	5:0.174684	4:0.174684	3:0.174684	2:0.174684	1:0.174684	0:0.174684	
15(288738)::	10:0.223802	9:0.223802	8:0.223802	7:0.223802	6:0.223802	5:0.223802	4:0.223802	3:0.223802	2:0.223802	1:0.223802	0:0.223802	
16(506485)::	10:0.157682	9:0.157682	8:0.157682	7:0.157682	6:0.157682	5:0.157682	4:0.157682	3:0.157682	2:0.157682	1:0.157682	0:0.157682	
17(407932)::	0:0.065779	1:0.065779	2:0.065779	3:0.065779	4:0.065779	5:0.065779	6:0.065779	7:0.065779	8:0.065779	9:0.065779	10:0.065779	
