0.551814
0.551814
0(413249)::	0:1.472602	1:1.472602	2:1.472602	3:1.472602	4:1.472602	5:1.472602	6:1.472602	7:1.472602	8:1.472602	
1(38009)::	0:0.278209	1:0.278209	2:0.278209	3:0.278209	4:0.278209	5:0.278209	6:0.278209	7:0.278209	8:0.278209	
2(413257)::	8:0.325809	7:0.325809	6:0.325809	5:0.325809	4:0.325809	3:0.325809	2:0.325809	1:0.325809	0:0.325809	
3(342984)::	0:0.111814	1:0.111814	2:0.111814	3:0.111814	4:0.111814	5:0.111814	6:0.111814	7:0.111814	8:0.111814	
4(515761)::	0:1.077202	1:1.077202	2:1.077202	3:1.077202	4:1.077202	5:1.077202	6:1.077202	7:1.077202	8:1.077202	
5(115054)::	8:0.663044	7:0.663044	6:0.663044	5:0.663044	4:0.663044	3:0.663044	2:0.663044	1:0.663044	0:0.663044	
6(492137)::	0:0.094172	1:0.094172	2:0.094172	3:0.094172	4:0.094172	5:0.094172	6:0.094172	7:0.094172	8:0.094172	
7(278864)::	8:0.363576	7:0.363576	6:0.363576	5:0.363576	4:0.363576	3:0.363576	2:0.363576	1:0.363576	0:0.363576	
8(432850)::	0:2.425911	1:2.425911	2:2.425911	3:2.425911	4:2.425911	5:2.425911	6:2.425911	7:2.425911	8:2.425911	
9(369953)::	8:0.012915	7:0.012915	6:0.012915	5:0.012915	4:0.012915	3:0.012915	2:0.012915	1:0.012915	0:0.012915	
10(389547)::	8:0.151239	7:0.151239	6:0.151239	5:0.151239	4:0.151239	3:0.151239	2:0.151239	1:0.151239	0:0.151239	
11(31173)::	0:0.051108	1:0.051108	2:0.051108	3:0.051108	4:0.051108	5:0.051108	6:0.051108	7:0.051108	8:0.051108	
12(479602)::	8:0.035234	7:0.035234	6:0.035234	5:0.035234	4:0.035234	3:0.035234	2:0.035234	1:0.035234	0:0.035234	
13(99566)::	8:0.017311	7:0.017311	6:0.017311	5:0.017311	4:0.017311	3:0.017311	2:0.017311	1:0.017311	0:0.017311	
14(469927)::	8:0.017311	7:0.017311	6:0.017311	5:0.017311	4:0.017311	3:0.017311	2:0.017311	1:0.017311	0:0.017311	
15(82162)::	8:0.016321	7:0.016321	6:0.016321	5:0.016321	4:0.016321	3:0.016321	2:0.016321	1:0.016321	0:0.016321	
16(92669)::	0:0.016321	1:0.016321	2:0.016321	3:0.016321	4:0.016321	5:0.016321	6:0.016321	7:0.016321	8:0.016321	
