iter  AnomalyNodeRemoved  LL
0 NA -746.911239
1 70437 -721.335160
2 536770 -704.284441
3 387277 -695.759081
4 58731 -679.318915
5 493277 -658.955341
6 93043 -650.970951
7 156917 -642.931196
8 267610 -634.836491
9 365385 -626.957763
10 311743 -604.105461
11 401252 -589.023275
12 459719 -573.721756
13 224984 -566.993030
14 531948 -560.179402
15 354094 -541.789078
16 73723 -525.457725
17 123975 -508.817403
18 183542 -491.872315
19 373465 -472.581774
20 257348 -460.199686
21 70124 -442.954286
22 30510 -323.095653
23 215404 -319.450832
24 4761 -315.729539
25 516758 -311.909627
26 206977 -307.990255
27 91060 -303.971143
28 479093 -299.850679
29 76250 -295.628441
30 512164 -291.302950
