iter  precision  recall
1  1.000000  0.033333
2  1.000000  0.066667
3  1.000000  0.100000
4  1.000000  0.133333
5  1.000000  0.166667
6  1.000000  0.200000
7  1.000000  0.233333
8  1.000000  0.266667
9  1.000000  0.300000
10  1.000000  0.333333
11  1.000000  0.366667
12  1.000000  0.400000
13  1.000000  0.433333
14  1.000000  0.466667
15  0.933333  0.466667
16  0.875000  0.466667
17  0.823529  0.466667
18  0.777778  0.466667
19  0.736842  0.466667
20  0.750000  0.500000
21  0.714286  0.500000
22  0.681818  0.500000
23  0.695652  0.533333
24  0.708333  0.566667
25  0.720000  0.600000
26  0.730769  0.633333
27  0.740741  0.666667
28  0.750000  0.700000
29  0.758621  0.733333
30  0.766667  0.766667
