0.400999
0.400999
0(97659)::	0:0.089675	1:0.089675	2:0.089675	3:0.089675	4:0.089675	5:0.089675	6:0.089675	7:0.089675	8:0.089675	9:0.089675	10:0.089675	11:0.089675	12:0.089675	13:0.089675	
1(544728)::	13:0.108185	12:0.108185	11:0.108185	10:0.108185	9:0.108185	8:0.108185	7:0.108185	6:0.108185	5:0.108185	4:0.108185	3:0.108185	2:0.108185	1:0.108185	0:0.108185	
2(544141)::	13:0.174661	12:0.174661	11:0.174661	10:0.174661	9:0.174661	8:0.174661	7:0.174661	6:0.174661	5:0.174661	4:0.174661	3:0.174661	2:0.174661	1:0.174661	0:0.174661	
3(249269)::	13:0.090588	12:0.090588	11:0.090588	10:0.090588	9:0.090588	8:0.090588	7:0.090588	6:0.090588	5:0.090588	4:0.090588	3:0.090588	2:0.090588	1:0.090588	0:0.090588	
4(544732)::	13:0.108091	12:0.108091	11:0.108091	10:0.108091	9:0.108091	8:0.108091	7:0.108091	6:0.108091	5:0.108091	4:0.108091	3:0.108091	2:0.108091	1:0.108091	0:0.108091	
5(544731)::	13:0.058905	12:0.058905	11:0.058905	10:0.058905	9:0.058905	8:0.058905	7:0.058905	6:0.058905	5:0.058905	4:0.058905	3:0.058905	2:0.058905	1:0.058905	0:0.058905	
6(546017)::	0:0.232684	1:0.232684	2:0.232684	3:0.232684	4:0.232684	5:0.232684	6:0.232684	7:0.232684	8:0.232684	9:0.232684	10:0.232684	11:0.232684	12:0.232684	13:0.232684	
7(172383)::	13:0.177770	12:0.177770	11:0.177770	10:0.177770	9:0.177770	8:0.177770	7:0.177770	6:0.177770	5:0.177770	4:0.177770	3:0.177770	2:0.177770	1:0.177770	0:0.177770	
8(547836)::	0:0.146767	1:0.146767	2:0.146767	3:0.146767	4:0.146767	5:0.146767	6:0.146767	7:0.146767	8:0.146767	9:0.146767	10:0.146767	11:0.146767	12:0.146767	13:0.146767	
9(544729)::	0:0.160524	1:0.160524	2:0.160524	3:0.160524	4:0.160524	5:0.160524	6:0.160524	7:0.160524	8:0.160524	9:0.160524	10:0.160524	11:0.160524	12:0.160524	13:0.160524	
10(222158)::	0:0.131920	1:0.131920	2:0.131920	3:0.131920	4:0.131920	5:0.131920	6:0.131920	7:0.131920	8:0.131920	9:0.131920	10:0.131920	11:0.131920	12:0.131920	13:0.131920	
