0.273804
0.273804
0(445196)::	4:0.466495	3:0.466495	2:0.466495	1:0.466495	0:0.466495	
1(363588)::	0:0.086131	1:0.086131	2:0.086131	3:0.086131	4:0.086131	
2(425057)::	0:0.140270	1:0.140270	2:0.140270	3:0.140270	4:0.140270	
3(288908)::	0:0.325756	1:0.325756	2:0.325756	3:0.325756	4:0.325756	
4(431285)::	0:0.088364	1:0.088364	2:0.088364	3:0.088364	4:0.088364	
5(494329)::	0:0.086040	1:0.086040	2:0.086040	3:0.086040	4:0.086040	
6(448900)::	4:0.348478	3:0.348478	2:0.348478	1:0.348478	0:0.348478	
7(287734)::	0:0.641029	1:0.641029	2:0.641029	3:0.641029	4:0.641029	
8(166059)::	2:0.088347	3:0.088347	4:0.088347	1:0.088347	0:0.088347	
9(353282)::	4:0.144195	3:0.144195	2:0.144195	1:0.144195	0:0.144195	
10(190199)::	0:0.087642	1:0.087642	2:0.087642	3:0.087642	4:0.087642	
11(298152)::	0:0.086039	1:0.086039	2:0.086039	3:0.086039	4:0.086039	
12(354492)::	4:0.308407	3:0.308407	2:0.308407	1:0.308407	0:0.308407	
13(530630)::	0:0.426962	1:0.426962	2:0.426962	3:0.426962	4:0.426962	
14(202277)::	0:0.087475	1:0.087475	2:0.087475	3:0.087475	4:0.087475	
15(283842)::	2:0.088363	1:0.088363	0:0.088363	3:0.088363	4:0.088363	
16(455205)::	0:0.086119	1:0.086119	2:0.086119	3:0.086119	4:0.086119	
17(507462)::	0:0.084820	1:0.084820	2:0.084820	3:0.084820	4:0.084820	
18(224377)::	0:0.085212	1:0.085212	2:0.085212	3:0.085212	4:0.085212	
19(339357)::	0:0.085420	1:0.085420	2:0.085420	3:0.085420	4:0.085420	
20(401187)::	4:0.175931	3:0.175931	2:0.175931	1:0.175931	0:0.175931	
21(363055)::	0:0.084816	1:0.084816	2:0.084816	3:0.084816	4:0.084816	
22(434890)::	0:0.086141	1:0.086141	2:0.086141	3:0.086141	4:0.086141	
23(520543)::	0:0.088393	1:0.088393	2:0.088393	3:0.088393	4:0.088393	
24(91351)::	4:0.057561	3:0.057561	2:0.057561	1:0.057561	0:0.057561	
25(282873)::	0:0.272240	1:0.272240	2:0.272240	3:0.272240	4:0.272240	
26(103928)::	0:0.160597	1:0.160597	2:0.160597	3:0.160597	4:0.160597	
27(479011)::	4:0.166763	3:0.166763	2:0.166763	1:0.166763	0:0.166763	
28(137778)::	4:0.161315	3:0.161315	2:0.161315	1:0.161315	0:0.161315	
29(307186)::	4:0.493481	3:0.493481	2:0.493481	1:0.493481	0:0.493481	
30(361376)::	0:0.002051	1:0.002051	2:0.002051	3:0.002051	4:0.002051	
31(282154)::	4:0.175044	3:0.175044	2:0.175044	1:0.175044	0:0.175044	
32(257765)::	0:0.395863	1:0.395863	2:0.395863	3:0.395863	4:0.395863	
33(40319)::	4:0.292245	3:0.292245	2:0.292245	1:0.292245	0:0.292245	
34(235408)::	0:0.059396	1:0.059396	2:0.059396	3:0.059396	4:0.059396	
35(491652)::	4:0.059391	3:0.059391	2:0.059391	1:0.059391	0:0.059391	
36(40330)::	4:0.077864	3:0.077864	2:0.077864	1:0.077864	0:0.077864	
37(135937)::	0:0.059415	1:0.059415	2:0.059415	3:0.059415	4:0.059415	
38(394441)::	0:0.059745	1:0.059745	2:0.059745	3:0.059745	4:0.059745	
39(354845)::	0:0.126307	1:0.126307	2:0.126307	3:0.126307	4:0.126307	
