iter  AnomalyNodeRemoved  LL
0 NA -4706.836460
1 412163 -4671.842132
2 318212 -4665.046525
3 186022 -4585.548531
4 401798 -4540.959944
5 300975 -4505.837441
6 154509 -4524.001919
7 151849 -4473.075258
8 191775 -4524.725589
9 330328 -4490.898116
10 93356 -4414.785375
11 535477 -4475.456376
12 346322 -4528.801834
13 470620 -4470.687078
14 401449 -4338.755875
15 276567 -4447.205472
16 294679 -4295.444374
17 473001 -4259.420866
18 120615 -4310.541176
19 225233 -4342.159664
20 204966 -4321.293225
21 77701 -4200.448165
22 30688 -4308.811401
23 326849 -4275.240060
24 84839 -4201.142908
25 33710 -4140.868135
26 99026 -4099.252200
27 216422 -4226.390321
28 374874 -4249.446962
29 277713 -4159.714586
30 440989 -4052.907088
31 409356 -4085.113537
32 428993 -4060.199701
33 318538 -4037.827700
34 176184 -4049.452342
35 154202 -4023.138400
