0.111514
0.111514
0(412163)::	
1(318212)::	
2(186022)::	
3(401798)::	
4(346322)::	3:0.026180	
5(435398)::	3:0.086875	
6(329078)::	4:0.272134	
7(309411)::	4:0.431342	
8(522378)::	4:0.273137	
9(434830)::	4:0.326243	
10(541690)::	4:0.280623	
11(252719)::	4:0.262797	
12(64879)::	4:0.321917	
13(539292)::	2:0.159262	
14(108892)::	2:0.464362	
15(279830)::	2:1.186757	
16(268123)::	2:0.164182	
17(394886)::	3:0.972474	
18(343306)::	0:0.420132	
19(205838)::	0:0.412929	
20(542633)::	0:1.369708	
21(277617)::	0:0.392843	
22(482584)::	0:0.312300	
23(273775)::	0:0.393033	
24(137050)::	2:0.102913	
25(271643)::	2:0.773270	
26(123159)::	2:0.326407	
27(366824)::	4:0.064151	
28(127262)::	4:0.636168	
29(318538)::	4:0.043399	
30(300975)::	
31(154509)::	
32(151849)::	
33(330328)::	
34(447892)::	0:1.025205	
35(92472)::	0:0.562210	
36(314719)::	0:0.614999	
37(67572)::	0:0.566217	
38(208714)::	0:1.091055	
39(429708)::	0:0.501977	
40(116969)::	0:0.454437	
41(166549)::	0:0.883614	
42(543516)::	0:0.777441	
43(34895)::	0:0.460155	
44(190765)::	2:0.486224	
45(428737)::	2:0.228480	
46(176159)::	2:0.418417	
47(475666)::	2:0.473160	
48(230788)::	2:0.936102	
49(19509)::	2:1.209429	
50(373756)::	2:0.535599	
51(150207)::	2:0.479969	
52(258382)::	2:0.095171	
53(115533)::	1:0.072759	
54(449985)::	1:0.453421	
55(314250)::	0:0.327768	
56(335183)::	0:0.331168	
57(127199)::	0:0.331181	
58(93356)::	
59(191775)::	
60(535477)::	
61(414657)::	1:0.244532	
62(196008)::	1:0.237581	
63(186386)::	1:0.338575	
64(123953)::	1:0.951624	
65(49424)::	1:0.597731	
66(385399)::	1:0.163398	
67(325052)::	1:0.239671	
68(379102)::	1:0.248795	
69(124992)::	1:0.236205	
70(460073)::	1:0.322260	
71(30093)::	1:0.239755	
72(244578)::	3:0.298953	
73(204126)::	3:0.314665	
74(205676)::	3:0.070346	
75(116096)::	3:0.103216	
76(294393)::	3:1.038366	
77(536482)::	3:0.103292	1:0.058210	
78(95427)::	4:0.140262	
79(383087)::	4:0.708833	
80(229209)::	4:1.302227	
81(458993)::	4:0.896784	
82(43379)::	4:0.077571	
83(98081)::	4:0.166621	
84(38265)::	4:0.367070	
85(29354)::	1:0.337720	
86(521655)::	1:1.783937	
87(98199)::	2:0.139336	1:0.070188	
88(142115)::	1:0.240095	
89(530647)::	1:0.257559	
90(504199)::	4:0.331191	
91(401268)::	4:0.542429	
92(287524)::	4:0.432951	
93(30690)::	4:0.432025	
94(217871)::	4:0.673834	
95(512729)::	4:0.386500	
96(275237)::	4:0.224364	
97(30398)::	4:0.329286	
98(523046)::	3:0.047357	
