iter  precision  recall
1  0.000000  0.000000
2  0.000000  0.000000
3  0.333333  0.090909
4  0.500000  0.181818
5  0.400000  0.181818
6  0.333333  0.181818
7  0.428571  0.272727
8  0.375000  0.272727
9  0.333333  0.272727
10  0.300000  0.272727
11  0.272727  0.272727
12  0.333333  0.363636
13  0.307692  0.363636
14  0.285714  0.363636
15  0.266667  0.363636
16  0.250000  0.363636
17  0.235294  0.363636
18  0.277778  0.454545
19  0.315789  0.545455
20  0.300000  0.545455
21  0.333333  0.636364
22  0.363636  0.727273
23  0.347826  0.727273
