0.362215
0.362215
0(176695)::	2:0.330099	3:0.330099	
1(415981)::	3:1.515676	2:1.515676	
2(90557)::	3:0.344639	2:0.344639	
3(515422)::	3:0.683751	2:0.683751	
4(176500)::	2:1.651923	3:1.651923	
5(156150)::	3:0.630549	2:0.630549	
6(196910)::	1:0.263188	0:0.263188	
7(72880)::	3:0.086165	2:0.086165	0:0.518306	1:0.518306	
8(455942)::	0:0.502353	1:0.502353	
9(284216)::	0:0.501297	1:0.501297	
10(407895)::	1:0.591993	0:0.591993	
11(157635)::	0:0.664205	1:0.664205	
12(509535)::	3:0.175822	2:0.175822	
13(308167)::	3:0.217200	2:0.217200	
14(467258)::	2:0.339962	3:0.339962	
15(490231)::	3:0.313437	2:0.313437	
16(271270)::	2:0.357350	3:0.357350	
17(75935)::	1:0.263313	0:0.263313	
18(142229)::	1:0.308688	0:0.308688	
19(535153)::	1:0.332146	0:0.332146	
20(393110)::	1:0.329742	0:0.329742	
21(129143)::	1:0.466184	0:0.466184	
22(457280)::	0:0.261544	1:0.261544	
23(541552)::	1:0.396132	0:0.396132	2:0.261796	3:0.261796	
24(57060)::	0:0.476666	1:0.476666	
25(107045)::	2:0.294085	3:0.294085	
26(246767)::	3:0.084215	2:0.084215	0:0.027423	1:0.027423	
27(485935)::	0:0.027481	1:0.027481	2:0.084194	3:0.084194	
28(338700)::	1:0.626589	0:0.626589	
29(22780)::	3:0.557514	2:0.557514	
30(352885)::	1:0.494862	0:0.494862	
31(173371)::	2:0.175804	3:0.175804	
32(290968)::	2:1.067047	3:1.067047	
33(352799)::	1:0.482648	0:0.482648	
34(158208)::	2:0.263977	3:0.263977	
35(5197)::	1:0.527816	0:0.527816	
36(418918)::	1:0.701378	0:0.701378	
37(57722)::	0:0.201113	1:0.201113	
38(181785)::	0:0.201127	1:0.201127	
39(75588)::	1:0.321368	0:0.321368	
40(35814)::	0:0.201052	1:0.201052	
41(100623)::	1:0.258903	0:0.258903	
42(398631)::	2:0.336013	3:0.336013	
43(323085)::	1:0.027421	0:0.027421	
44(56342)::	1:0.526607	0:0.526607	
45(134783)::	0:0.027436	1:0.027436	
46(245851)::	2:0.198376	3:0.198376	
47(37101)::	2:0.336587	3:0.336587	
48(302099)::	2:0.034057	3:0.034057	
49(486884)::	1:0.076405	0:0.076405	
