iter  precision  recall
1  0.010309  0.043478
2  0.010309  0.086957
3  0.015385  0.130435
4  0.020202  0.173913
5  0.028986  0.260870
6  0.047619  0.478261
7  0.047414  0.478261
8  0.047210  0.478261
9  0.047009  0.478261
10  0.040590  0.478261
11  0.040441  0.478261
12  0.043956  0.521739
13  0.047445  0.565217
14  0.047273  0.565217
15  0.047101  0.565217
16  0.050542  0.608696
17  0.050360  0.608696
18  0.050179  0.608696
19  0.050000  0.608696
20  0.049822  0.608696
21  0.049645  0.608696
22  0.049470  0.608696
23  0.049296  0.608696
