0.400999
0.400999
0(97659)::	0:0.137023	1:0.137023	2:0.137023	3:0.137023	4:0.137023	5:0.137023	
1(544728)::	5:0.165291	4:0.165291	3:0.165291	2:0.165291	1:0.165291	0:0.165291	
2(544141)::	0:0.266734	1:0.266734	2:0.266734	3:0.266734	4:0.266734	5:0.266734	
3(249269)::	5:0.138397	4:0.138397	3:0.138397	2:0.138397	1:0.138397	0:0.138397	
4(544732)::	5:0.165144	4:0.165144	3:0.165144	2:0.165144	1:0.165144	0:0.165144	
5(544731)::	5:0.089971	4:0.089971	3:0.089971	2:0.089971	1:0.089971	0:0.089971	
6(546017)::	0:0.355287	1:0.355287	2:0.355287	3:0.355287	4:0.355287	5:0.355287	
7(172383)::	5:0.271560	4:0.271560	3:0.271560	2:0.271560	1:0.271560	0:0.271560	
8(547836)::	5:0.224156	4:0.224156	3:0.224156	2:0.224156	1:0.224156	0:0.224156	
9(544729)::	0:0.245309	1:0.245309	2:0.245309	3:0.245309	4:0.245309	5:0.245309	
10(222158)::	5:0.201566	4:0.201566	3:0.201566	2:0.201566	1:0.201566	0:0.201566	
11(547392)::	5:0.336669	4:0.336669	3:0.336669	2:0.336669	1:0.336669	0:0.336669	
12(547394)::	0:0.196024	1:0.196024	2:0.196024	3:0.196024	4:0.196024	5:0.196024	
13(136464)::	5:0.005183	4:0.005183	3:0.005183	2:0.005183	1:0.005183	0:0.005183	
14(547009)::	0:0.278442	1:0.278442	2:0.278442	3:0.278442	4:0.278442	5:0.278442	
15(544734)::	0:0.192088	1:0.192088	2:0.192088	3:0.192088	4:0.192088	5:0.192088	
16(544730)::	3:0.092702	2:0.092702	1:0.092702	0:0.092702	4:0.092702	5:0.092702	
17(544727)::	0:0.169776	1:0.169776	2:0.169776	3:0.169776	4:0.169776	5:0.169776	
18(545972)::	2:0.089019	3:0.089019	4:0.089019	5:0.089019	1:0.089019	0:0.089019	
19(547393)::	0:0.169031	1:0.169031	2:0.169031	3:0.169031	4:0.169031	5:0.169031	
20(544726)::	2:0.220443	3:0.220443	4:0.220443	5:0.220443	1:0.220443	0:0.220443	
21(146773)::	0:0.185677	1:0.185677	2:0.185677	3:0.185677	4:0.185677	5:0.185677	
22(545209)::	5:0.138318	4:0.138318	3:0.138318	2:0.138318	1:0.138318	0:0.138318	
23(546391)::	3:0.135270	4:0.135270	5:0.135270	2:0.135270	1:0.135270	0:0.135270	
24(545210)::	5:0.192541	4:0.192541	3:0.192541	2:0.192541	1:0.192541	0:0.192541	
25(276506)::	5:0.169520	4:0.169520	3:0.169520	2:0.169520	1:0.169520	0:0.169520	
26(170304)::	0:0.093939	1:0.093939	2:0.093939	3:0.093939	4:0.093939	5:0.093939	
27(472720)::	0:0.282617	1:0.282617	2:0.282617	3:0.282617	4:0.282617	5:0.282617	
28(547600)::	0:0.133607	1:0.133607	2:0.133607	3:0.133607	4:0.133607	5:0.133607	
29(547409)::	5:0.313434	4:0.313434	0:0.313434	1:0.313434	2:0.313434	3:0.313434	
30(76908)::	5:0.233313	4:0.233313	3:0.233313	2:0.233313	1:0.233313	0:0.233313	
31(547411)::	5:0.139807	4:0.139807	3:0.139807	2:0.139807	1:0.139807	0:0.139807	
32(547410)::	5:0.115238	4:0.115238	3:0.115238	2:0.115238	1:0.115238	0:0.115238	
33(224705)::	5:0.096311	4:0.096311	3:0.096311	2:0.096311	1:0.096311	0:0.096311	
34(548418)::	0:0.138627	1:0.138627	2:0.138627	3:0.138627	4:0.138627	5:0.138627	
35(548190)::	0:0.348158	1:0.348158	2:0.348158	3:0.348158	4:0.348158	5:0.348158	
36(262393)::	5:0.217162	4:0.217162	3:0.217162	2:0.217162	1:0.217162	0:0.217162	
37(546255)::	5:0.167897	4:0.167897	3:0.167897	2:0.167897	1:0.167897	0:0.167897	
38(546322)::	4:0.168356	3:0.168356	2:0.168356	1:0.168356	0:0.168356	5:0.168356	
39(546016)::	5:0.192841	4:0.192841	3:0.192841	2:0.192841	1:0.192841	0:0.192841	
40(547250)::	5:0.189737	4:0.189737	3:0.189737	2:0.189737	1:0.189737	0:0.189737	
41(545730)::	3:0.091417	2:0.091417	1:0.091417	0:0.091417	4:0.091417	5:0.091417	
42(545507)::	2:0.139379	1:0.139379	0:0.139379	3:0.139379	4:0.139379	5:0.139379	
43(547574)::	5:0.147872	4:0.147872	3:0.147872	2:0.147872	1:0.147872	0:0.147872	
44(548188)::	5:0.091448	4:0.091448	3:0.091448	2:0.091448	1:0.091448	0:0.091448	
45(548445)::	5:0.087054	4:0.087054	3:0.087054	2:0.087054	1:0.087054	0:0.087054	
46(544719)::	0:0.134295	1:0.134295	2:0.134295	3:0.134295	4:0.134295	5:0.134295	
47(54446)::	0:0.003471	1:0.003471	2:0.003471	3:0.003471	4:0.003471	5:0.003471	
48(544513)::	5:0.003471	4:0.003471	3:0.003471	2:0.003471	1:0.003471	0:0.003471	
49(477661)::	0:0.002991	1:0.002991	2:0.002991	3:0.002991	4:0.002991	5:0.002991	
