iter  AnomalyNodeRemoved  LL
0 NA -8080.093187
1 110416 -6021.890971
2 200207 -5383.064243
3 463500 -5295.204582
4 463139 -5884.152797
5 389997 -5257.105803
6 437689 -5246.215026
7 494286 -5226.882981
8 117548 -5274.572829
9 505613 -4692.199709
10 79662 -5584.174241
11 110557 -5166.718457
12 10064 -364.246647
13 93401 -352.926718
14 499709 -321.766718
15 82609 -299.379559
16 54635 -284.993981
17 263267 -265.187644
18 524460 -258.909292
19 205581 -252.409443
20 43617 -246.690213
21 366293 -240.781392
22 189182 -234.668973
23 152979 -217.102458
