iter  precision  recall
1  0.000000  0.000000
2  0.001435  0.050000
3  0.001433  0.050000
4  0.001431  0.050000
5  0.001429  0.050000
6  0.001427  0.050000
7  0.001425  0.050000
8  0.001422  0.050000
9  0.001420  0.050000
10  0.001418  0.050000
11  0.001416  0.050000
12  0.001414  0.050000
13  0.001412  0.050000
14  0.001410  0.050000
15  0.001408  0.050000
16  0.001406  0.050000
17  0.001404  0.050000
18  0.001403  0.050000
19  0.001401  0.050000
20  0.001399  0.050000
21  0.001397  0.050000
22  0.001395  0.050000
23  0.001393  0.050000
24  0.001391  0.050000
25  0.001389  0.050000
26  0.001387  0.050000
27  0.001385  0.050000
28  0.001383  0.050000
29  0.001381  0.050000
30  0.001379  0.050000
31  0.001377  0.050000
32  0.001376  0.050000
33  0.001374  0.050000
34  0.001372  0.050000
35  0.001370  0.050000
36  0.001368  0.050000
37  0.001366  0.050000
38  0.001364  0.050000
39  0.001362  0.050000
40  0.001361  0.050000
