iter  precision  recall
1  0.000000  0.000000
2  0.002088  0.200000
3  0.002086  0.200000
4  0.002779  0.300000
5  0.001800  0.450000
6  0.001799  0.450000
7  0.001799  0.450000
8  0.001798  0.500000
9  0.001794  0.500000
10  0.001780  0.500000
11  0.001767  0.500000
12  0.001765  0.500000
13  0.001739  0.500000
14  0.001666  0.500000
15  0.001665  0.500000
16  0.001665  0.500000
17  0.001665  0.500000
18  0.001664  0.500000
19  0.001664  0.500000
20  0.001664  0.500000
21  0.001662  0.500000
22  0.001662  0.500000
23  0.001651  0.500000
24  0.001651  0.500000
25  0.001650  0.500000
26  0.001650  0.500000
27  0.001650  0.500000
28  0.001649  0.500000
29  0.001649  0.500000
30  0.001649  0.500000
31  0.001648  0.500000
32  0.001648  0.500000
33  0.001626  0.500000
34  0.001625  0.500000
35  0.001624  0.500000
36  0.001560  0.500000
37  0.001560  0.500000
38  0.001560  0.500000
39  0.001560  0.500000
40  0.001559  0.500000
