iter  AnomalyNodeRemoved  LL
0 NA -11178.450252
1 530173 -4267.341639
2 401409 -4289.556365
3 312161 -2574.123734
4 117752 -2514.111395
5 201218 -2540.262951
6 502264 -2664.520091
7 330854 -2530.668082
8 232761 -2433.373787
9 442639 -2328.194924
10 14651 -3117.363038
11 267761 -1829.357379
12 171812 -2288.872398
13 338536 -1796.735449
14 393702 -1857.972637
15 27322 -2719.275085
16 42585 -1776.485694
17 71308 -1821.615523
18 186396 -1959.726035
19 12328 -1859.453305
20 527912 -1837.690769
21 124565 -1704.594541
22 251637 -1849.136261
23 155771 -1830.579199
24 426778 -1880.466161
25 456631 -1639.405641
26 223731 -1814.380559
27 379911 -1803.608355
28 222940 -1824.100840
29 316353 -1587.401490
30 350181 -1708.037917
31 56540 -1531.879899
32 410117 -1482.285652
33 336476 -1925.039307
34 424981 -1540.467120
35 9799 -1598.553146
36 412903 -1423.357772
37 349246 -1457.869350
38 239115 -1406.111585
39 47353 -1460.058932
40 87471 -1504.785856
