iter  AnomalyNodeRemoved  LL
0 NA -1244105.551311
1 228055 -928735.504072
2 520297 -928613.014630
3 486911 -928531.384415
4 383592 -928510.974745
5 104336 -928490.565519
6 300686 -928408.939174
7 452565 -928327.313646
8 40532 -928306.906618
9 32608 -928286.498954
10 433520 -928266.091478
11 421780 -928204.872811
12 41597 -928164.060373
13 73657 -928143.654152
14 522492 -928123.248063
15 166236 -928082.435711
16 496800 -928041.623320
17 347302 -928021.217194
18 453576 -928000.811086
19 3831 -927980.405377
20 137886 -927959.999410
21 56324 -927939.593455
22 398910 -927919.187864
23 394163 -927878.375709
24 131033 -927857.969981
25 96199 -927837.564319
26 382440 -927817.158929
27 106455 -927796.753190
28 317636 -927776.347545
29 142106 -927755.942214
30 64602 -927735.536955
31 215117 -927715.131426
32 392715 -927674.320021
33 218798 -927653.914777
34 344308 -927633.509692
35 176433 -927613.104876
36 508812 -927592.700142
37 361718 -927572.295093
38 182149 -927531.487525
39 90796 -927511.083272
40 415017 -927490.678608
